Home/Away,Favorite_Points,Underdog_Points,Pointspread,Favorite_Name,Underdog_name,Year,Week,Weekday,Overtime
b'at_home',38.0,24.0,7.0,b'CLE',b'NYJ',89.0,2.0,b'?',b'?'
b'at_home',37.0,42.0,3.0,b'WAS',b'PHA',89.0,2.0,b'?',b'?'
b'at_home',24.0,34.0,7.0,b'SEA',b'PHX',89.0,2.0,b'?',b'?'
b'at_home',41.0,10.0,10.0,b'CIN',b'PIT',89.0,2.0,b'?',b'?'
b'away',20.0,16.0,7.5,b'SF',b'TB',89.0,2.0,b'?',b'?'
b'at_home',14.0,28.0,6.5,b'BUF',b'DEN',89.0,2.0,b'Monday_Night',b'?'
b'at_home',13.0,9.0,7.5,b'IND',b'ATL',89.0,3.0,b'?',b'?'
b'at_home',41.0,47.0,3.5,b'HOU',b'BUF',89.0,3.0,b'?',b'yes'
b'away',47.0,27.0,7.0,b'CHI',b'DET',89.0,3.0,b'?',b'?'
b'at_home',41.0,38.0,10.0,b'LAN',b'GB',89.0,3.0,b'?',b'?'
b'at_home',21.0,6.0,2.5,b'SD',b'KC',89.0,3.0,b'?',b'?'
b'at_home',31.0,21.0,6.5,b'DEN',b'LAA',89.0,3.0,b'?',b'?'
b'away',14.0,27.0,8.5,b'MIN',b'PIT',89.0,3.0,b'?',b'?'
b'away',10.0,20.0,2.5,b'NO',b'TB',89.0,3.0,b'?',b'?'
b'at_home',33.0,40.0,4.0,b'MIA',b'NYJ',89.0,3.0,b'?',b'?'
b'at_home',35.0,7.0,7.5,b'NYG',b'PHX',89.0,3.0,b'?',b'?'
b'at_home',28.0,38.0,1.5,b'PHA',b'SF',89.0,3.0,b'?',b'?'
b'at_home',3.0,24.0,3.5,b'NE',b'SEA',89.0,3.0,b'?',b'?'
b'away',30.0,7.0,4.5,b'WAS',b'DAL',89.0,3.0,b'?',b'?'
b'at_home',21.0,14.0,4.0,b'CIN',b'CLE',89.0,3.0,b'Monday_Night',b'?'
b'at_home',23.0,21.0,7.0,b'GB',b'ATL',89.0,4.0,b'?',b'?'
b'away',21.0,17.0,5.0,b'CIN',b'KC',89.0,4.0,b'?',b'?'
b'at_home',16.0,13.0,5.5,b'CLE',b'DEN',89.0,4.0,b'?',b'?'
b'at_home',10.0,17.0,3.0,b'NYJ',b'IND',89.0,4.0,b'?',b'?'
b'at_home',12.0,13.0,5.0,b'SF',b'LAN',89.0,4.0,b'?',b'?'
b'at_home',39.0,7.0,7.0,b'HOU',b'MIA',89.0,4.0,b'?',b'?'
b'at_home',31.0,10.0,7.0,b'BUF',b'NE',89.0,4.0,b'?',b'?'
b'away',30.0,13.0,7.0,b'NYG',b'DAL',89.0,4.0,b'?',b'?'
b'at_home',3.0,23.0,2.5,b'DET',b'PIT',89.0,4.0,b'?',b'?'
b'at_home',13.0,24.0,4.0,b'PHX',b'SD',89.0,4.0,b'?',b'?'
b'at_home',20.0,24.0,1.0,b'LAA',b'SEA',89.0,4.0,b'?',b'?'
b'at_home',17.0,3.0,8.0,b'MIN',b'TB',89.0,4.0,b'?',b'?'
b'away',16.0,14.0,1.5,b'WAS',b'NO',89.0,4.0,b'?',b'?'
b'at_home',27.0,13.0,3.5,b'CHI',b'PHA',89.0,4.0,b'Monday_Night',b'?'
b'at_home',26.0,14.0,10.5,b'LAN',b'ATL',89.0,5.0,b'?',b'?'
b'away',14.0,37.0,0.0,b'BUF',b'IND',89.0,5.0,b'?',b'?'
b'away',35.0,42.0,4.5,b'CHI',b'TB',89.0,5.0,b'?',b'?'
b'away',26.0,16.0,4.0,b'CIN',b'PIT',89.0,5.0,b'?',b'?'
b'away',10.0,13.0,3.5,b'CLE',b'MIA',89.0,5.0,b'?',b'?'
b'at_home',31.0,13.0,7.0,b'GB',b'DAL',89.0,5.0,b'?',b'?'
b'at_home',24.0,17.0,12.0,b'MIN',b'DET',89.0,5.0,b'?',b'?'
b'away',13.0,23.0,4.0,b'HOU',b'NE',89.0,5.0,b'?',b'?'
b'at_home',16.0,20.0,7.0,b'SEA',b'KC',89.0,5.0,b'?',b'?'
b'away',24.0,20.0,4.0,b'SF',b'NO',89.0,5.0,b'?',b'?'
b'at_home',21.0,19.0,3.0,b'PHA',b'NYG',89.0,5.0,b'?',b'?'
b'at_home',30.0,28.0,9.5,b'WAS',b'PHX',89.0,5.0,b'?',b'?'
b'at_home',16.0,10.0,7.0,b'DEN',b'SD',89.0,5.0,b'?',b'?'
b'at_home',7.0,14.0,3.0,b'NYJ',b'LAA',89.0,5.0,b'Monday_Night',b'?'
b'at_home',16.0,17.0,6.0,b'TB',b'DET',89.0,6.0,b'?',b'?'
b'at_home',26.0,14.0,6.5,b'MIN',b'GB',89.0,6.0,b'?',b'?'
b'at_home',28.0,33.0,7.0,b'CHI',b'HOU',89.0,6.0,b'?',b'?'
b'at_home',14.0,3.0,5.0,b'DEN',b'IND',89.0,6.0,b'?',b'?'
b'at_home',20.0,14.0,3.0,b'LAA',b'KC',89.0,6.0,b'?',b'?'
b'at_home',13.0,20.0,7.5,b'CIN',b'MIA',89.0,6.0,b'?',b'?'
b'at_home',16.0,15.0,2.5,b'ATL',b'NE',89.0,6.0,b'?',b'?'
b'at_home',29.0,14.0,5.5,b'NO',b'NYJ',89.0,6.0,b'?',b'?'
b'away',17.0,5.0,3.5,b'PHA',b'PHX',89.0,6.0,b'?',b'?'
b'at_home',7.0,17.0,9.0,b'CLE',b'PIT',89.0,6.0,b'?',b'?'
b'away',31.0,14.0,14.0,b'SF',b'DAL',89.0,6.0,b'?',b'?'
b'at_home',16.0,17.0,0.0,b'SD',b'SEA',89.0,6.0,b'?',b'?'
b'at_home',20.0,17.0,3.0,b'NYG',b'WAS',89.0,6.0,b'?',b'?'
b'away',20.0,23.0,3.5,b'LAN',b'BUF',89.0,6.0,b'Monday_Night',b'?'
b'at_home',34.0,20.0,2.0,b'PHX',b'ATL',89.0,7.0,b'?',b'?'
b'at_home',36.0,28.0,9.0,b'KC',b'DAL',89.0,7.0,b'?',b'?'
b'at_home',21.0,24.0,3.0,b'SEA',b'DEN',89.0,7.0,b'?',b'?'
b'at_home',23.0,20.0,3.0,b'MIA',b'GB',89.0,7.0,b'?',b'?'
b'at_home',12.0,23.0,6.5,b'CIN',b'IND',89.0,7.0,b'?',b'?'
b'at_home',10.0,7.0,6.5,b'PHA',b'LAA',89.0,7.0,b'?',b'?'
b'away',20.0,7.0,7.5,b'MIN',b'DET',89.0,7.0,b'?',b'?'
b'at_home',37.0,20.0,11.0,b'SF',b'NE',89.0,7.0,b'?',b'?'
b'at_home',21.0,40.0,7.0,b'LAN',b'NO',89.0,7.0,b'?',b'?'
b'away',20.0,13.0,4.0,b'NYG',b'SD',89.0,7.0,b'?',b'?'
b'at_home',34.0,3.0,7.0,b'BUF',b'NYJ',89.0,7.0,b'?',b'?'
b'at_home',27.0,0.0,10.0,b'HOU',b'PIT',89.0,7.0,b'?',b'?'
b'at_home',32.0,28.0,8.0,b'WAS',b'TB',89.0,7.0,b'?',b'?'
b'at_home',27.0,7.0,1.0,b'CLE',b'CHI',89.0,7.0,b'Monday_Night',b'?'
b'at_home',20.0,13.0,7.0,b'NO',b'ATL',89.0,8.0,b'?',b'?'
b'at_home',23.0,20.0,6.5,b'GB',b'DET',89.0,8.0,b'?',b'yes'
b'at_home',28.0,17.0,2.5,b'CLE',b'HOU',89.0,8.0,b'?',b'?'
b'at_home',23.0,17.0,2.0,b'PIT',b'KC',89.0,8.0,b'?',b'?'
b'at_home',20.0,10.0,2.5,b'CHI',b'LAN',89.0,8.0,b'?',b'?'
b'at_home',31.0,17.0,4.0,b'BUF',b'MIA',89.0,8.0,b'?',b'?'
b'at_home',20.0,23.0,6.0,b'IND',b'NE',89.0,8.0,b'?',b'yes'
b'at_home',24.0,28.0,3.0,b'DEN',b'PHA',89.0,8.0,b'?',b'?'
b'away',19.0,10.0,4.0,b'PHX',b'DAL',89.0,8.0,b'?',b'?'
b'at_home',10.0,7.0,6.0,b'SEA',b'SD',89.0,8.0,b'?',b'?'
b'away',23.0,10.0,8.5,b'SF',b'NYJ',89.0,8.0,b'?',b'?'
b'at_home',56.0,23.0,6.5,b'CIN',b'TB',89.0,8.0,b'?',b'?'
b'away',24.0,37.0,2.0,b'WAS',b'LAA',89.0,8.0,b'?',b'?'
b'at_home',24.0,14.0,2.0,b'NYG',b'MIN',89.0,8.0,b'Monday_Night',b'?'
b'away',28.0,30.0,3.0,b'BUF',b'ATL',89.0,9.0,b'?',b'?'
b'away',13.0,14.0,3.0,b'CHI',b'GB',89.0,9.0,b'?',b'?'
b'away',7.0,28.0,1.5,b'CIN',b'LAA',89.0,9.0,b'?',b'?'
b'away',42.0,31.0,3.0,b'CLE',b'TB',89.0,9.0,b'?',b'?'
b'at_home',35.0,31.0,10.0,b'HOU',b'DET',89.0,9.0,b'?',b'?'
b'at_home',19.0,13.0,3.0,b'MIA',b'IND',89.0,9.0,b'?',b'?'
b'at_home',23.0,21.0,4.5,b'MIN',b'LAN',89.0,9.0,b'?',b'yes'
b'away',20.0,13.0,3.0,b'NYG',b'PHX',89.0,9.0,b'?',b'?'
b'at_home',26.0,27.0,7.5,b'NE',b'NYJ',89.0,9.0,b'?',b'?'
b'away',17.0,20.0,4.0,b'PHA',b'SD',89.0,9.0,b'?',b'?'
b'at_home',34.0,7.0,7.5,b'DEN',b'PIT',89.0,9.0,b'?',b'?'
b'at_home',20.0,10.0,2.5,b'KC',b'SEA',89.0,9.0,b'?',b'?'
b'at_home',3.0,13.0,14.0,b'WAS',b'DAL',89.0,9.0,b'Sunday_Night',b'?'
b'at_home',31.0,13.0,6.0,b'SF',b'NO',89.0,9.0,b'Monday_Night',b'?'
b'at_home',45.0,3.0,10.5,b'SF',b'ATL',89.0,10.0,b'?',b'?'
b'away',20.0,0.0,3.5,b'CHI',b'PIT',89.0,10.0,b'?',b'?'
b'away',17.0,7.0,2.5,b'CLE',b'SEA',89.0,10.0,b'?',b'?'
b'at_home',24.0,20.0,7.0,b'PHX',b'DAL',89.0,10.0,b'?',b'?'
b'at_home',13.0,16.0,0.0,b'KC',b'DEN',89.0,10.0,b'?',b'?'
b'away',22.0,31.0,1.5,b'GB',b'DET',89.0,10.0,b'?',b'?'
b'at_home',30.0,7.0,6.5,b'BUF',b'IND',89.0,10.0,b'?',b'?'
b'away',31.0,23.0,3.0,b'MIA',b'NYJ',89.0,10.0,b'?',b'?'
b'away',24.0,10.0,5.5,b'MIN',b'TB',89.0,10.0,b'?',b'?'
b'away',28.0,24.0,2.5,b'NO',b'NE',89.0,10.0,b'?',b'?'
b'at_home',31.0,10.0,2.5,b'LAN',b'NYG',89.0,10.0,b'?',b'?'
b'at_home',3.0,10.0,5.0,b'PHA',b'WAS',89.0,10.0,b'?',b'?'
b'away',12.0,14.0,2.5,b'LAA',b'SD',89.0,10.0,b'Sunday_Night',b'?'
b'at_home',26.0,24.0,6.0,b'HOU',b'CIN',89.0,10.0,b'Monday_Night',b'?'
b'away',24.0,33.0,6.0,b'BUF',b'NE',89.0,11.0,b'?',b'?'
b'at_home',42.0,7.0,7.0,b'CIN',b'DET',89.0,11.0,b'?',b'?'
b'at_home',17.0,21.0,10.0,b'SF',b'GB',89.0,11.0,b'?',b'?'
b'at_home',10.0,10.0,7.0,b'CLE',b'KC',89.0,11.0,b'?',b'yes'
b'at_home',23.0,7.0,5.0,b'HOU',b'LAA',89.0,11.0,b'?',b'?'
b'away',17.0,14.0,6.5,b'MIA',b'DAL',89.0,11.0,b'?',b'?'
b'away',9.0,10.0,1.0,b'MIN',b'PHA',89.0,11.0,b'?',b'?'
b'away',26.0,17.0,3.0,b'NO',b'ATL',89.0,11.0,b'?',b'?'
b'at_home',37.0,14.0,10.5,b'LAN',b'PHX',89.0,11.0,b'?',b'?'
b'at_home',20.0,17.0,2.5,b'PIT',b'SD',89.0,11.0,b'?',b'?'
b'at_home',15.0,3.0,9.0,b'NYG',b'SEA',89.0,11.0,b'?',b'?'
b'at_home',31.0,32.0,10.0,b'CHI',b'TB',89.0,11.0,b'?',b'?'
b'at_home',27.0,10.0,6.0,b'IND',b'NYJ',89.0,11.0,b'Sunday_Night',b'?'
b'at_home',10.0,14.0,2.5,b'WAS',b'DEN',89.0,11.0,b'Monday_Night',b'?'
b'away',10.0,13.0,6.0,b'CLE',b'DET',89.0,12.0,b'Thursday',b'?'
b'away',27.0,0.0,6.0,b'PHA',b'DAL',89.0,12.0,b'Thursday',b'?'
b'at_home',27.0,7.0,2.0,b'NYJ',b'ATL',89.0,12.0,b'?',b'?'
b'away',14.0,38.0,0.0,b'CHI',b'WAS',89.0,12.0,b'?',b'?'
b'at_home',24.0,7.0,3.0,b'BUF',b'CIN',89.0,12.0,b'?',b'?'
b'away',0.0,34.0,1.5,b'HOU',b'KC',89.0,12.0,b'?',b'?'
b'away',19.0,20.0,3.0,b'MIN',b'GB',89.0,12.0,b'?',b'?'
b'at_home',24.0,21.0,6.5,b'LAA',b'NE',89.0,12.0,b'?',b'?'
b'at_home',14.0,34.0,7.5,b'MIA',b'PIT',89.0,12.0,b'?',b'?'
b'at_home',10.0,6.0,4.5,b'IND',b'SD',89.0,12.0,b'?',b'?'
b'at_home',41.0,14.0,9.5,b'DEN',b'SEA',89.0,12.0,b'?',b'?'
b'at_home',13.0,14.0,1.5,b'PHX',b'TB',89.0,12.0,b'?',b'?'
b'away',20.0,17.0,0.0,b'LAN',b'NO',89.0,12.0,b'Sunday_Night',b'yes'
b'at_home',34.0,24.0,5.0,b'SF',b'NYG',89.0,12.0,b'Monday_Night',b'?'
b'at_home',0.0,21.0,4.0,b'CLE',b'CIN',89.0,13.0,b'?',b'?'
b'at_home',16.0,13.0,1.5,b'LAA',b'DEN',89.0,13.0,b'?',b'yes'
b'away',17.0,16.0,2.5,b'GB',b'TB',89.0,13.0,b'?',b'?'
b'away',23.0,16.0,3.0,b'HOU',b'PIT',89.0,13.0,b'?',b'?'
b'at_home',22.0,16.0,1.5,b'NE',b'IND',89.0,13.0,b'?',b'?'
b'away',35.0,31.0,9.5,b'LAN',b'DAL',89.0,13.0,b'?',b'?'
b'at_home',26.0,21.0,3.5,b'KC',b'MIA',89.0,13.0,b'?',b'?'
b'away',14.0,21.0,4.0,b'NO',b'DET',89.0,13.0,b'?',b'?'
b'at_home',17.0,20.0,4.5,b'SD',b'NYJ',89.0,13.0,b'?',b'?'
b'at_home',17.0,24.0,3.0,b'NYG',b'PHA',89.0,13.0,b'?',b'?'
b'away',23.0,10.0,9.5,b'SF',b'ATL',89.0,13.0,b'?',b'?'
b'away',29.0,10.0,4.0,b'WAS',b'PHX',89.0,13.0,b'?',b'?'
b'at_home',27.0,16.0,6.0,b'MIN',b'CHI',89.0,13.0,b'Sunday_Night',b'?'
b'away',16.0,17.0,5.5,b'BUF',b'SEA',89.0,13.0,b'Monday_Night',b'?'
b'at_home',43.0,17.0,12.0,b'MIN',b'ATL',89.0,14.0,b'?',b'?'
b'away',17.0,23.0,1.0,b'CLE',b'IND',89.0,14.0,b'?',b'yes'
b'at_home',20.0,10.0,12.0,b'PHA',b'DAL',89.0,14.0,b'?',b'?'
b'at_home',17.0,27.0,6.5,b'CHI',b'DET',89.0,14.0,b'?',b'?'
b'at_home',3.0,21.0,3.0,b'GB',b'KC',89.0,14.0,b'?',b'?'
b'at_home',19.0,22.0,6.0,b'BUF',b'NO',89.0,14.0,b'?',b'?'
b'at_home',7.0,14.0,3.0,b'DEN',b'NYG',89.0,14.0,b'?',b'?'
b'at_home',16.0,14.0,9.0,b'LAA',b'PHX',89.0,14.0,b'?',b'?'
b'at_home',0.0,13.0,1.5,b'NYJ',b'PIT',89.0,14.0,b'?',b'?'
b'at_home',26.0,21.0,9.5,b'WAS',b'SD',89.0,14.0,b'?',b'?'
b'at_home',17.0,24.0,10.0,b'CIN',b'SEA',89.0,14.0,b'?',b'?'
b'at_home',20.0,17.0,8.0,b'HOU',b'TB',89.0,14.0,b'?',b'?'
b'at_home',31.0,10.0,5.0,b'MIA',b'NE',89.0,14.0,b'Sunday_Night',b'?'
b'at_home',27.0,30.0,0.0,b'LAN',b'SF',89.0,14.0,b'Monday_Night',b'?'
b'at_home',15.0,0.0,12.0,b'NYG',b'DAL',89.0,15.0,b'Saturday',b'?'
b'away',37.0,0.0,7.0,b'DEN',b'PHX',89.0,15.0,b'Saturday',b'?'
b'at_home',21.0,10.0,6.5,b'SF',b'BUF',89.0,15.0,b'?',b'?'
b'at_home',28.0,40.0,1.5,b'CHI',b'GB',89.0,15.0,b'?',b'?'
b'at_home',61.0,7.0,3.5,b'CIN',b'HOU',89.0,15.0,b'?',b'?'
b'at_home',42.0,13.0,0.0,b'IND',b'MIA',89.0,15.0,b'?',b'?'
b'away',17.0,23.0,1.5,b'MIN',b'CLE',89.0,15.0,b'?',b'yes'
b'at_home',28.0,10.0,3.0,b'PIT',b'NE',89.0,15.0,b'?',b'?'
b'at_home',38.0,14.0,11.0,b'LAN',b'NYJ',89.0,15.0,b'?',b'?'
b'at_home',13.0,20.0,7.5,b'KC',b'SD',89.0,15.0,b'?',b'?'
b'at_home',33.0,7.0,2.5,b'DET',b'TB',89.0,15.0,b'?',b'?'
b'away',31.0,30.0,6.5,b'WAS',b'ATL',89.0,15.0,b'?',b'?'
b'at_home',23.0,17.0,0.0,b'SEA',b'LAA',89.0,15.0,b'Sunday_Night',b'?'
b'away',20.0,30.0,1.0,b'PHA',b'NO',89.0,15.0,b'Monday_Night',b'?'
b'away',37.0,0.0,7.0,b'BUF',b'NYJ',89.0,16.0,b'Saturday',b'?'
b'at_home',0.0,29.0,2.0,b'SEA',b'WAS',89.0,16.0,b'Saturday',b'?'
b'at_home',20.0,24.0,3.5,b'HOU',b'CLE',89.0,16.0,b'Saturday',b'?'
b'at_home',26.0,0.0,9.0,b'SF',b'CHI',89.0,16.0,b'?',b'?'
b'away',16.0,19.0,2.5,b'DEN',b'SD',89.0,16.0,b'?',b'?'
b'away',31.0,24.0,3.0,b'DET',b'ATL',89.0,16.0,b'?',b'?'
b'away',20.0,10.0,7.0,b'GB',b'DAL',89.0,16.0,b'?',b'?'
b'at_home',41.0,6.0,2.5,b'NO',b'IND',89.0,16.0,b'?',b'?'
b'at_home',24.0,27.0,3.5,b'MIA',b'KC',89.0,16.0,b'?',b'?'
b'at_home',34.0,17.0,6.5,b'NYG',b'LAA',89.0,16.0,b'?',b'?'
b'away',24.0,20.0,7.0,b'LAN',b'NE',89.0,16.0,b'?',b'?'
b'at_home',31.0,14.0,12.0,b'PHA',b'PHX',89.0,16.0,b'?',b'?'
b'away',31.0,22.0,2.0,b'PIT',b'TB',89.0,16.0,b'?',b'?'
b'at_home',29.0,21.0,6.0,b'MIN',b'CIN',89.0,16.0,b'Monday_Night',b'?'
b'away',27.0,24.0,1.0,b'MIA',b'NE',90.0,1.0,b'?',b'?'
b'at_home',21.0,38.0,6.5,b'DET',b'TB',90.0,1.0,b'?',b'?'
b'at_home',17.0,0.0,6.0,b'CHI',b'SEA',90.0,1.0,b'?',b'?'
b'away',24.0,36.0,3.0,b'LAN',b'GB',90.0,1.0,b'?',b'?'
b'at_home',31.0,0.0,11.5,b'WAS',b'PHX',90.0,1.0,b'?',b'?'
b'away',21.0,24.0,1.5,b'MIN',b'KC',90.0,1.0,b'?',b'?'
b'at_home',26.0,10.0,8.0,b'BUF',b'IND',90.0,1.0,b'?',b'?'
b'away',14.0,17.0,3.0,b'SD',b'DAL',90.0,1.0,b'?',b'?'
b'away',9.0,14.0,1.0,b'DEN',b'LAA',90.0,1.0,b'?',b'?'
b'at_home',47.0,27.0,1.0,b'ATL',b'HOU',90.0,1.0,b'?',b'?'
b'at_home',25.0,20.0,9.0,b'CIN',b'NYJ',90.0,1.0,b'?',b'?'
b'at_home',13.0,3.0,3.0,b'CLE',b'PIT',90.0,1.0,b'?',b'?'
b'at_home',27.0,20.0,4.5,b'NYG',b'PHA',90.0,1.0,b'Sunday_Night',b'?'
b'away',13.0,12.0,4.5,b'SF',b'NO',90.0,1.0,b'Monday_Night',b'?'
b'at_home',14.0,16.0,2.5,b'IND',b'NE',90.0,2.0,b'?',b'?'
b'away',7.0,30.0,2.0,b'BUF',b'MIA',90.0,2.0,b'?',b'?'
b'away',21.0,16.0,3.0,b'CIN',b'SD',90.0,2.0,b'?',b'?'
b'away',21.0,24.0,2.0,b'CLE',b'NYJ',90.0,2.0,b'?',b'?'
b'at_home',21.0,14.0,3.0,b'DET',b'ATL',90.0,2.0,b'?',b'?'
b'at_home',13.0,31.0,3.0,b'GB',b'CHI',90.0,2.0,b'?',b'?'
b'away',35.0,14.0,3.0,b'LAN',b'TB',90.0,2.0,b'?',b'?'
b'at_home',32.0,3.0,6.0,b'MIN',b'NO',90.0,2.0,b'?',b'?'
b'away',28.0,7.0,8.0,b'NYG',b'DAL',90.0,2.0,b'?',b'?'
b'at_home',21.0,23.0,13.5,b'PHA',b'PHX',90.0,2.0,b'?',b'?'
b'at_home',20.0,9.0,2.5,b'PIT',b'HOU',90.0,2.0,b'?',b'?'
b'at_home',26.0,13.0,6.5,b'SF',b'WAS',90.0,2.0,b'?',b'?'
b'away',17.0,13.0,0.0,b'LAA',b'SEA',90.0,2.0,b'Sunday_Night',b'?'
b'at_home',24.0,23.0,5.0,b'DEN',b'KC',90.0,2.0,b'Monday_Night',b'?'
b'at_home',41.0,7.0,9.5,b'CIN',b'NE',90.0,3.0,b'?',b'?'
b'at_home',19.0,16.0,2.0,b'CHI',b'MIN',90.0,3.0,b'?',b'?'
b'at_home',14.0,24.0,5.5,b'CLE',b'SD',90.0,3.0,b'?',b'?'
b'at_home',34.0,31.0,9.0,b'DEN',b'SEA',90.0,3.0,b'?',b'yes'
b'at_home',3.0,17.0,3.0,b'GB',b'KC',90.0,3.0,b'?',b'?'
b'at_home',24.0,10.0,9.0,b'HOU',b'IND',90.0,3.0,b'?',b'?'
b'at_home',20.0,3.0,3.5,b'LAA',b'PIT',90.0,3.0,b'?',b'?'
b'at_home',21.0,27.0,5.5,b'LAN',b'PHA',90.0,3.0,b'?',b'?'
b'at_home',28.0,7.0,9.0,b'NO',b'PHX',90.0,3.0,b'?',b'?'
b'at_home',20.0,3.0,7.0,b'NYG',b'MIA',90.0,3.0,b'?',b'?'
b'at_home',19.0,13.0,10.5,b'SF',b'ATL',90.0,3.0,b'?',b'?'
b'at_home',23.0,20.0,2.0,b'TB',b'DET',90.0,3.0,b'?',b'?'
b'at_home',19.0,15.0,14.0,b'WAS',b'DAL',90.0,3.0,b'Sunday_Night',b'?'
b'away',30.0,7.0,2.0,b'BUF',b'NYJ',90.0,3.0,b'Monday_Night',b'?'
b'away',37.0,13.0,1.0,b'NYJ',b'NE',90.0,4.0,b'?',b'?'
b'at_home',29.0,28.0,3.0,b'BUF',b'DEN',90.0,4.0,b'?',b'?'
b'at_home',21.0,24.0,2.5,b'DET',b'GB',90.0,4.0,b'?',b'?'
b'at_home',34.0,0.0,6.5,b'KC',b'CLE',90.0,4.0,b'?',b'?'
b'at_home',24.0,10.0,1.0,b'LAA',b'CHI',90.0,4.0,b'?',b'?'
b'away',28.0,6.0,2.0,b'MIA',b'PIT',90.0,4.0,b'?',b'?'
b'at_home',20.0,23.0,8.0,b'MIN',b'TB',90.0,4.0,b'?',b'yes'
b'at_home',31.0,17.0,13.5,b'NYG',b'DAL',90.0,4.0,b'?',b'?'
b'at_home',23.0,24.0,13.0,b'PHA',b'IND',90.0,4.0,b'?',b'?'
b'at_home',7.0,17.0,2.0,b'SD',b'HOU',90.0,4.0,b'?',b'?'
b'away',38.0,10.0,7.0,b'WAS',b'PHX',90.0,4.0,b'Sunday_Night',b'?'
b'away',16.0,31.0,2.5,b'CIN',b'SEA',90.0,4.0,b'Monday_Night',b'?'
b'away',33.0,20.0,2.5,b'SEA',b'NE',90.0,5.0,b'?',b'?'
b'at_home',28.0,27.0,2.0,b'ATL',b'NO',90.0,5.0,b'?',b'?'
b'away',10.0,14.0,3.0,b'TB',b'DAL',90.0,5.0,b'?',b'?'
b'at_home',27.0,13.0,4.0,b'CHI',b'GB',90.0,5.0,b'?',b'?'
b'away',19.0,23.0,6.0,b'KC',b'IND',90.0,5.0,b'?',b'?'
b'at_home',31.0,34.0,4.5,b'LAN',b'CIN',90.0,5.0,b'?',b'yes'
b'at_home',20.0,16.0,6.0,b'MIA',b'NYJ',90.0,5.0,b'?',b'?'
b'at_home',27.0,34.0,7.0,b'MIN',b'DET',90.0,5.0,b'?',b'?'
b'away',14.0,36.0,1.5,b'SD',b'PIT',90.0,5.0,b'?',b'?'
b'away',24.0,21.0,5.5,b'SF',b'HOU',90.0,5.0,b'?',b'?'
b'at_home',38.0,24.0,3.0,b'BUF',b'LAA',90.0,5.0,b'Sunday_Night',b'?'
b'at_home',29.0,30.0,9.0,b'DEN',b'CLE',90.0,5.0,b'Monday_Night',b'?'
b'at_home',17.0,34.0,8.5,b'DEN',b'PIT',90.0,6.0,b'?',b'?'
b'at_home',48.0,17.0,3.5,b'HOU',b'CIN',90.0,6.0,b'?',b'?'
b'at_home',43.0,24.0,6.5,b'KC',b'DET',90.0,6.0,b'?',b'?'
b'at_home',24.0,17.0,5.5,b'LAA',b'SEA',90.0,6.0,b'?',b'?'
b'at_home',25.0,20.0,6.0,b'NO',b'CLE',90.0,6.0,b'?',b'?'
b'at_home',3.0,39.0,5.0,b'NYJ',b'SD',90.0,6.0,b'?',b'?'
b'at_home',20.0,3.0,2.0,b'PHX',b'DAL',90.0,6.0,b'?',b'?'
b'away',45.0,35.0,6.0,b'SF',b'ATL',90.0,6.0,b'?',b'?'
