Role,Status,Trust,Outcome_favorability,Procedural_fairness,binaryClass
b'Candidate',54.62963,61.904762,47.619048,66.666667,b'N'
b'Candidate',67.592593,47.619048,42.857143,61.904762,b'P'
b'Candidate',70.37037,50.0,61.904762,42.857143,b'N'
b'Candidate',82.407407,40.47619,66.666667,85.714286,b'N'
b'Recruiter',68.518519,64.285714,71.428571,85.714286,b'N'
b'Recruiter',74.074074,66.666667,66.666667,66.666667,b'N'
b'Candidate',75.0,73.809524,71.428571,52.380952,b'N'
b'Candidate',65.740741,21.428571,33.333333,66.666667,b'N'
b'Candidate',72.222222,57.142857,57.142857,71.428571,b'N'
b'Recruiter',82.407407,45.238095,42.857143,85.714286,b'N'
b'Candidate',57.407407,50.0,42.857143,66.666667,b'N'
b'Recruiter',63.888889,47.619048,52.380952,66.666667,b'N'
b'Candidate',68.518519,23.809524,47.619048,47.619048,b'P'
b'Recruiter',75.0,52.380952,42.857143,71.428571,b'N'
b'Candidate',57.407407,47.619048,28.571429,61.904762,b'P'
b'Candidate',,45.238095,42.857143,52.380952,b'N'
b'Recruiter',,,66.666667,71.428571,b'N'
b'Candidate',,45.238095,42.857143,52.380952,b'P'
b'Recruiter',,,66.666667,71.428571,b'N'
b'Candidate',50.0,47.619048,42.857143,47.619048,b'N'
