Feature00,Feature01,Feature02,Feature03,Feature04,Feature05,Feature06,Feature07,Feature08,Feature09,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,Feature21,Feature22,Feature23,Feature24,Feature25,Feature26,Feature27,Feature28,Feature29,Feature30,Feature31,class
19.0,1.0,b'9',b'7',12.0,b'7',14.0,16.0,b'8',b'5',b'4',b'4',28.0,47.0,b'4',b'5',b'4',b'5',47.0,87.0,b'3',13.0,b'2',20.0,b'0',b'1',b'0',b'0',b'7',b'7',13.0,b'0',b'2'
19.0,1.0,b'9',b'7',12.0,b'7',12.0,14.0,b'8',b'5',b'2',b'4',2.0,23.0,b'6',b'4',b'4',b'5',47.0,84.0,b'3',13.0,b'2',20.0,b'0',b'1',b'0',b'0',b'5',b'7',13.0,b'0',b'2'
19.0,1.0,b'9',b'7',12.0,b'7',13.0,15.0,b'8',b'5',b'3',b'3',32.0,49.0,b'4',b'5',b'4',b'5',47.0,85.0,b'3',13.0,b'2',20.0,b'0',b'1',b'2',b'0',b'8',b'8',14.0,b'2',b'2'
14.0,23.0,b'9',b'7',12.0,b'7',14.0,11.0,b'8',b'5',b'4',b'2',5.0,16.0,b'6',b'4',b'6',b'3',47.0,80.0,b'3',13.0,b'2',20.0,b'0',b'1',b'0',b'0',b'7',b'7',13.0,b'0',b'5'
14.0,23.0,b'9',b'7',12.0,b'7',10.0,10.0,b'8',b'5',b'3',b'1',37.0,31.0,b'3',b'3',b'6',b'3',44.0,79.0,b'3',13.0,b'2',20.0,b'1',b'1',b'2',b'2',b'8',b'8',14.0,b'2',b'5'
19.0,1.0,b'9',b'7',12.0,b'7',12.0,14.0,b'8',b'5',b'2',b'4',2.0,23.0,b'6',b'4',b'4',b'5',47.0,84.0,b'3',13.0,b'2',20.0,b'0',b'1',b'0',b'0',b'5',b'7',13.0,b'0',b'2'
19.0,1.0,b'9',b'7',12.0,b'7',13.0,15.0,b'8',b'5',b'3',b'3',32.0,49.0,b'4',b'5',b'4',b'5',47.0,85.0,b'3',13.0,b'2',20.0,b'0',b'1',b'2',b'0',b'8',b'8',14.0,b'2',b'2'
19.0,1.0,b'9',b'7',12.0,b'7',14.0,16.0,b'8',b'5',b'4',b'4',28.0,47.0,b'4',b'5',b'4',b'5',47.0,87.0,b'3',13.0,b'2',20.0,b'0',b'1',b'0',b'0',b'7',b'7',13.0,b'0',b'2'
22.0,3.0,b'9',b'7',12.0,b'7',15.0,8.0,b'8',b'5',b'5',b'4',45.0,20.0,b'6',b'4',b'3',b'1',47.0,77.0,b'3',13.0,b'2',20.0,b'0',b'1',b'0',b'0',b'4',b'6',13.0,b'0',b'3'
23.0,31.0,b'8',b'7',11.0,b'7',15.0,17.0,b'7',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',45.0,88.0,b'2',11.0,b'2',14.0,b'1',b'1',b'1',b'1',b'8',b'8',14.0,b'1',b'3'
19.0,1.0,b'9',b'7',12.0,b'7',13.0,15.0,b'8',b'5',b'3',b'3',32.0,49.0,b'4',b'5',b'4',b'5',47.0,85.0,b'3',13.0,b'2',20.0,b'0',b'1',b'2',b'0',b'8',b'8',14.0,b'2',b'2'
23.0,31.0,b'9',b'7',12.0,b'7',15.0,17.0,b'8',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',44.0,74.0,b'3',13.0,b'2',18.0,b'1',b'0',b'2',b'2',b'8',b'8',14.0,b'2',b'2'
23.0,31.0,b'9',b'7',12.0,b'7',15.0,13.0,b'8',b'5',b'5',b'4',45.0,61.0,b'5',b'5',b'5',b'2',47.0,73.0,b'3',13.0,b'2',18.0,b'0',b'0',b'0',b'0',b'4',b'7',14.0,b'0',b'2'
23.0,31.0,b'9',b'7',12.0,b'7',15.0,7.0,b'8',b'5',b'5',b'4',45.0,55.0,b'5',b'2',b'5',b'3',43.0,72.0,b'3',13.0,b'2',18.0,b'1',b'0',b'2',b'2',b'8',b'8',14.0,b'2',b'4'
23.0,31.0,b'9',b'7',12.0,b'7',15.0,9.0,b'8',b'5',b'5',b'1',45.0,6.0,b'5',b'3',b'5',b'1',47.0,71.0,b'3',13.0,b'2',18.0,b'0',b'0',b'0',b'0',b'4',b'7',13.0,b'0',b'1'
13.0,31.0,b'9',b'7',12.0,b'7',15.0,17.0,b'8',b'5',b'5',b'5',45.0,69.0,b'2',b'6',b'4',b'6',44.0,74.0,b'3',13.0,b'2',18.0,b'1',b'1',b'2',b'2',b'8',b'8',14.0,b'2',b'4'
23.0,31.0,b'8',b'7',11.0,b'7',15.0,17.0,b'7',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',45.0,88.0,b'2',11.0,b'2',14.0,b'1',b'1',b'1',b'1',b'8',b'8',14.0,b'1',b'3'
19.0,31.0,b'6',b'6',9.0,b'6',15.0,17.0,b'8',b'5',b'5',b'5',45.0,69.0,b'6',b'6',b'1',b'6',47.0,70.0,b'3',13.0,b'2',18.0,b'0',b'0',b'0',b'0',b'4',b'7',14.0,b'0',b'1'
12.0,7.0,b'5',b'6',9.0,b'6',15.0,7.0,b'8',b'5',b'5',b'4',45.0,55.0,b'3',b'2',b'2',b'3',43.0,72.0,b'3',13.0,b'2',18.0,b'1',b'0',b'2',b'2',b'8',b'8',14.0,b'2',b'3'
23.0,31.0,b'5',b'6',9.0,b'6',8.0,16.0,b'8',b'5',b'4',b'4',28.0,42.0,b'5',b'4',b'5',b'3',47.0,69.0,b'3',13.0,b'2',18.0,b'0',b'0',b'0',b'0',b'1',b'7',13.0,b'0',b'2'
23.0,31.0,b'5',b'7',9.0,b'5',15.0,17.0,b'8',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',42.0,68.0,b'3',13.0,b'2',20.0,b'1',b'0',b'0',b'0',b'2',b'6',13.0,b'0',b'4'
23.0,31.0,b'5',b'7',9.0,b'5',8.0,16.0,b'8',b'5',b'2',b'3',13.0,13.0,b'5',b'3',b'5',b'3',47.0,67.0,b'3',13.0,b'2',18.0,b'1',b'1',b'0',b'0',b'2',b'6',14.0,b'0',b'2'
23.0,31.0,b'5',b'6',9.0,b'6',15.0,17.0,b'8',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',41.0,66.0,b'3',13.0,b'2',20.0,b'0',b'0',b'0',b'0',b'2',b'7',14.0,b'0',b'3'
23.0,31.0,b'5',b'6',9.0,b'6',15.0,15.0,b'8',b'5',b'5',b'1',45.0,60.0,b'5',b'5',b'5',b'3',47.0,65.0,b'3',13.0,b'2',20.0,b'0',b'0',b'0',b'0',b'4',b'7',13.0,b'0',b'3'
23.0,31.0,b'5',b'6',9.0,b'6',15.0,17.0,b'8',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',40.0,64.0,b'3',13.0,b'2',20.0,b'0',b'0',b'0',b'0',b'6',b'7',14.0,b'0',b'2'
23.0,31.0,b'5',b'7',9.0,b'5',15.0,17.0,b'8',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',47.0,63.0,b'3',13.0,b'2',20.0,b'1',b'0',b'0',b'0',b'4',b'7',13.0,b'0',b'4'
23.0,31.0,b'5',b'7',8.0,b'5',15.0,17.0,b'5',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',45.0,88.0,b'2',10.0,b'2',13.0,b'1',b'0',b'1',b'1',b'8',b'8',14.0,b'1',b'5'
23.0,31.0,b'5',b'7',8.0,b'5',15.0,17.0,b'5',b'5',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',45.0,88.0,b'2',10.0,b'2',12.0,b'1',b'1',b'1',b'1',b'8',b'8',14.0,b'1',b'5'
1.0,25.0,b'5',b'5',7.0,b'5',15.0,11.0,b'4',b'4',b'5',b'0',45.0,58.0,b'1',b'4',b'2',b'1',39.0,62.0,b'3',13.0,b'2',20.0,b'0',b'0',b'0',b'0',b'2',b'5',14.0,b'0',b'3'
23.0,31.0,b'5',b'5',7.0,b'5',15.0,17.0,b'4',b'4',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',38.0,61.0,b'3',13.0,b'2',20.0,b'0',b'0',b'2',b'0',b'8',b'8',14.0,b'2',b'4'
23.0,31.0,b'4',b'5',6.0,b'7',15.0,17.0,b'3',b'4',b'5',b'5',45.0,69.0,b'5',b'6',b'5',b'6',37.0,88.0,b'0',13.0,b'2',20.0,b'0',b'0',b'1',b'1',b'8',b'8',14.0,b'1',b'4'
23.0,31.0,b'5',b'7',9.0,b'4',0.0,3.0,b'8',b'3',b'3',b'1',22.0,21.0,b'5',b'3',b'5',b'3',47.0,24.0,b'3',13.0,b'2',20.0,b'0',b'0',b'2',b'0',b'0',b'8',14.0,b'0',b'1'
23.0,31.0,b'5',b'7',9.0,b'5',2.0,13.0,b'8',b'5',b'4',b'4',37.0,57.0,b'5',b'5',b'5',b'2',47.0,35.0,b'3',13.0,b'2',20.0,b'0',b'0',b'0',b'0',b'4',b'5',14.0,b'0',b'5'
