Grievances,Rotate,Union,Workforce,Log_workforce,binaryClass
0.0,b'1',b'0',156.0,5.04986,b'P'
0.0,b'1',b'0',199.0,5.2933,b'P'
0.0,b'1',b'0',346.0,5.84644,b'P'
0.0,b'1',b'0',434.0,6.07304,b'P'
0.0,b'0',b'0',25.0,3.21888,b'P'
0.0,b'0',b'0',25.0,3.21888,b'P'
0.0,b'0',b'0',69.0,4.23411,b'P'
43.0,b'1',b'1',658.0,6.4892,b'P'
6.0,b'1',b'1',407.0,6.00881,b'P'
6.0,b'1',b'1',272.0,5.6058,b'P'
30.0,b'1',b'1',268.0,5.59099,b'P'
19.0,b'1',b'1',277.0,5.62402,b'P'
4.0,b'1',b'1',178.0,5.18178,b'P'
0.0,b'1',b'0',212.0,5.35659,b'P'
0.0,b'1',b'0',212.0,5.35659,b'P'
0.0,b'1',b'0',198.0,5.28827,b'P'
0.0,b'1',b'0',189.0,5.24175,b'P'
0.0,b'1',b'0',192.0,5.2575,b'P'
14.0,b'1',b'1',246.0,5.50533,b'P'
1.0,b'1',b'1',69.0,4.23411,b'P'
84.0,b'1',b'1',520.0,6.25383,b'P'
3.0,b'1',b'1',49.0,3.89182,b'P'
25.0,b'0',b'1',536.0,6.28413,b'P'
0.0,b'1',b'0',456.0,6.12249,b'P'
41.0,b'0',b'1',401.0,5.99396,b'P'
69.0,b'0',b'1',397.0,5.98394,b'P'
6.0,b'1',b'1',414.0,6.02587,b'P'
6.0,b'1',b'1',459.0,6.12905,b'P'
22.0,b'1',b'1',472.0,6.15698,b'P'
8.0,b'1',b'1',365.0,5.8999,b'P'
50.0,b'1',b'1',450.0,6.10925,b'P'
8.0,b'1',b'1',106.0,4.66344,b'P'
5.0,b'0',b'1',76.0,4.33073,b'P'
15.0,b'0',b'1',107.0,4.67283,b'P'
2.0,b'1',b'1',93.0,4.5326,b'P'
8.0,b'0',b'1',113.0,4.72739,b'P'
19.0,b'1',b'1',691.0,6.53814,b'P'
6.0,b'1',b'1',196.0,5.27811,b'N'
2.0,b'1',b'1',367.0,5.90536,b'N'
7.0,b'1',b'1',409.0,6.01372,b'N'
7.0,b'1',b'1',429.0,6.06146,b'N'
25.0,b'1',b'1',347.0,5.84932,b'N'
40.0,b'1',b'1',282.0,5.64191,b'N'
8.0,b'1',b'1',132.0,4.8828,b'N'
6.0,b'0',b'1',320.0,5.76832,b'N'
4.0,b'1',b'1',408.0,6.01127,b'N'
5.0,b'1',b'1',457.0,6.12468,b'N'
2.0,b'0',b'1',148.0,4.99721,b'N'
10.0,b'0',b'1',342.0,5.83481,b'N'
36.0,b'0',b'1',296.0,5.69036,b'N'
10.0,b'0',b'1',319.0,5.76519,b'N'
101.0,b'0',b'1',574.0,6.35263,b'N'
1.0,b'1',b'1',461.0,6.1334,b'N'
16.0,b'1',b'1',530.0,6.27288,b'N'
2.0,b'1',b'1',83.0,4.41884,b'N'
40.0,b'1',b'1',830.0,6.72143,b'N'
43.0,b'1',b'1',424.0,6.04973,b'N'
74.0,b'1',b'1',555.0,6.31897,b'N'
0.0,b'0',b'0',189.0,5.24175,b'N'
50.0,b'0',b'1',59.0,4.07754,b'N'
77.0,b'1',b'1',599.0,6.39526,b'N'
6.0,b'0',b'1',305.0,5.72031,b'N'
21.0,b'0',b'1',357.0,5.87774,b'N'
5.0,b'0',b'1',82.0,4.40672,b'N'
53.0,b'1',b'1',388.0,5.96101,b'N'
45.0,b'1',b'1',579.0,6.3613,b'N'
52.0,b'1',b'1',608.0,6.41017,b'N'
8.0,b'0',b'1',82.0,4.40672,b'N'
67.0,b'1',b'1',624.0,6.43615,b'N'
67.0,b'1',b'1',620.0,6.42972,b'N'
14.0,b'0',b'1',80.0,4.38203,b'N'
10.0,b'0',b'1',126.0,4.83628,b'N'
11.0,b'0',b'1',60.0,4.09434,b'N'
68.0,b'1',b'1',850.0,6.74524,b'N'
5.0,b'0',b'1',427.0,6.05678,b'N'
28.0,b'0',b'1',87.0,4.46591,b'N'
2.0,b'0',b'1',78.0,4.35671,b'N'
22.0,b'0',b'1',352.0,5.86363,b'N'
33.0,b'0',b'1',51.0,3.93183,b'N'
22.0,b'0',b'1',45.0,3.80666,b'N'
23.0,b'0',b'1',524.0,6.26149,b'N'
155.0,b'1',b'1',890.0,6.79122,b'N'
20.0,b'0',b'1',509.0,6.23245,b'N'
40.0,b'0',b'1',84.0,4.43082,b'N'
